Total Distance (m),Total Duration,High Speed Distance (m),Total Player Load,Result
6683.71997,98,237.81,713.90115,NW
4243.2251,64,22.16,394.74083,NW
3732.81641,59,252.38,390.32312,NW
4592.30713,65,267.70999,418.89507,NW
4365.47949,70,143,435.37632,NW
3329.72144,59,131.23,298.87946,NW
4823.46,61.76,442.58,0,NW
10007.33398,145,646.59,1114.97803,NW
5521.38135,98,47.49,501.96193,NW
3625.38037,59,42.45,416.76218,NW
4013.13721,65,140.55999,419.26617,NW
3818.32813,72,98.07,421.71344,NW
4310.72592,65,175.54,469.00907,NW
6038.7251,98,156.13,654.8768,NW
6023.81494,98,51.72,704.98633,NW
3593.73535,59,77.65,416.05804,NW
9991.24414,145,645.59997,1253.60181,NW
4412.50684,59,292.74001,409.57227,NW
3989.02652,67,100.86,366.10619,NW
5612.65039,62,838.07001,544.42242,NW
5279.58838,75,269.9,524.651,NW
3076.71313,55,114.02,286.32162,NW
3646.26144,62,111.18,389.77688,NW
4012.92578,71,181.83,385.70781,NW
3918.12231,71,126.56,398.64182,NW
3168.29053,63,80.85,290.18425,NW
4615.27,80.15,113.74,0,NW
5028.5752,75,260.13,571.14954,NW
3710.0896,66,115.07,322.74031,NW
3076.71313,55,114.02,286.32162,NW
3944.40662,71,76.78,376.92619,NW
3536.31073,71,120.92,408.14045,NW
3489.53418,75,73.62,359.52234,NW
2898.89722,55,67.85,280.189,NW
3000.68726,55,67.8,309.23181,NW
4274.53271,71,169.77001,470.39584,NW
4984.0376,75,76.39,558.38123,NW
3091.22803,55,139.18,303.77399,NW
3112.67627,43,594.85,382.18387,NW
2737.28516,55,64.08,239.71101,NW
4351.35547,81,74.38,514.07141,W
1468.14917,32,18.13,144.76471,W
1531.90833,32,0,170.41187,W
1431.14526,32,4.3,146.29294,W
1394.75916,32,4.04,149.96628,W
1464.15271,32,4.53,145.70686,W
3918.39917,81,194.26,451.72458,W
1484.86145,32,7.41,129.31848,W
1600.06897,32,20.53,202.28058,W
1355.5155,32,0,138.76598,W
1899.60754,41,9.44,244.08069,W
1682.55208,34,6.86,186.9456,W
2745.95459,45,2.96,300.64565,W
1558.83582,32,0,185.29303,W
4598.23926,81,202.27,579.42468,W
1854.09323,38,14.27,198.32467,W
1456.6781,32,5,131.36615,W
3184.18628,42,344.67001,353.04584,NW
2350.48804,39,96.29,231.77301,NW
2660.07782,45,89.26,290.96317,NW
2661.89063,50,63.29,261.58684,NW
3926.45581,48,347.17999,505.57535,NW
2143.86108,34,82.58,217.12027,NW
2361.66434,47,12.42,227.15423,NW
2965.6,21.79,0,0,NW
1671.61011,34,45.82,148.55502,NW
2012.45825,34,45.99,240.96747,NW
2003.16016,34,66.83,194.13879,NW
2605.25311,50,66.17,305.99396,NW
2968.81128,62,144.65,322.05495,NW
4684.28931,72,118.01,463.76697,NW
4368.49609,72,171.32,506.35492,NW
3039.41235,54,88.54,353.89422,NW
1954.97461,34,63.28,199.17796,NW
2502.854,46,46.94,229.58307,NW
2666.073,42,134.75,306.4465,NW
3384.59912,42,72.09,305.11197,NW
2985.20923,46,72.28,417.74857,NW
3234.95386,42,130.99,301.21417,NW
3501.39893,42,51.56,347.81259,NW
2989.38306,42,95.45,273.63214,NW
2930.16113,42,75.6,262.66937,NW
3208.93213,42,5.92,309.71234,NW
6517.3291,113,922.64,728.33807,NW
3461.8606,54,58.01,311.127,NW
3358.41406,42,107.75,368.94281,NW
4061.8277,57,118.49,428.12988,NW
2950.18188,42,105.38,323.13556,NW
3206.8335,42,61.45,332.21695,NW
7703.22412,113,1022.43002,826.00903,NW
4990.17383,74,335.88999,563.73357,NW
2879.21606,42,48.64,328.36816,NW
6533.87646,113,797.55001,824.24768,NW
3246.49707,42,74.25,335.53726,NW
2507.97534,47,14.76,265.55905,NW
4090.26123,54,235.27,360.15307,W
3447.36963,43,50.56,350.21231,W
