Total Distance (m),Total Duration,High Speed Distance (m),Total Player Load,Result
2774.36206,47,155.05,293.72552,NW
2989.27759,57,41.99,297.86884,NW
5334.73584,76,675.84001,613.32593,NW
3622.08838,61,107.98,341.31533,NW
3293.21881,57,54.94,350.61374,NW
2999.86108,52,130.61,307.23914,NW
3982.83508,70,133.22,358.22409,NW
2950.64819,30,183.50999,301.36581,NW
8315.95605,115,536.87002,893.36664,NW
3149.84766,62,52.27,268.27739,NW
3284.75629,61,57.47,335.96063,NW
3499.22998,61,54.77,427.84692,NW
3517.65082,70,153.31,397.983,NW
3442.61694,62,34.74,364.99981,NW
3309.98389,61,16.79,367.4405,NW
4634.46045,83,66.65,577.91327,NW
4022.85229,68,83.73,439.62347,NW
2871.05646,57,43.7,248.23605,NW
4962.51025,55,833.37997,488.52356,NW
2784.46704,45,157.97,346.49713,NW
2978.89795,51,34.93,320.04007,NW
3363.68066,51,35.26,378.51065,NW
3247.01953,51,106.3,349.16116,NW
2683.65063,51,62.27,265.02359,NW
2673.33008,51,42.49,288.86749,NW
2745.09753,50,139.36,341.66208,NW
3078.89746,55,69.67,309.11122,NW
2151.84988,42,85.46,229.39652,NW
3011.86926,49,152.31,347.83791,NW
1768.39612,33,0,249.64142,NW
3089.22339,51,18.77,386.97623,NW
3970.2959,87,27.9,532.15927,NW
2506.68524,52,22.79,292.82607,NW
5651.28613,87,279.66001,614.28549,W
5065.42529,106,109.19,591.28116,W
5134.12793,82,115.3,526.85878,W
4395.29932,40,813.63998,500.51895,W
4418.21533,45,471.5,479.05334,W
4259.35059,72,11.16,487.12622,W
5052.14209,91,298.93,473.57675,W
4451.80176,72,74.21,613.47565,W
5304.77881,106,200.64,553.02788,W
3824.05908,72,117.54,459.52548,W
5089.74805,91,109.35,523.22065,W
5097.84131,91,194.99999,500.38027,W
4692.24902,73,114.62,571.36511,W
3507.07837,51,101.57,400.2074,W
4053.40308,72,180.18,451.11896,W
4383.94434,73,84.69,475.38815,W
3034.53418,53,60.57,342.76782,NW
2310.3501,41,53.94,266.67624,NW
2924.5437,53,16.35,358.57021,NW
3021.03223,63,6.38,334.26419,NW
3555.37109,36,105.49,376.4863,NW
2091.9502,31,0,243.37904,NW
2160.50513,41,13.02,243.99884,NW
2728.56445,63,8.05,300.69165,NW
2430.14404,58,0,358.18916,NW
3309.94165,70,52.42,363.10676,NW
1786.30432,41,0.96,254.48497,NW
3668.98071,63,94.79,398.04736,NW
3886.40479,38,103.36,378.58838,NW
3237.25391,63,67.87,327.30859,NW
2803.95703,59,0,417.66524,NW
2203.95398,55,0,350.24439,NW
4003.37817,49,0,415.29712,NW
2661.7688,76,0,324.43106,NW
2851.5271,60,47.59,208.48131,NW
7008.19543,105,290.57001,813.66183,NW
3514.82275,63,0,333.60237,NW
1662.30005,42,0,121.77311,NW
1590.76001,42,0,106.174,NW
3919.7782,76,84.76,337.72752,NW
3711.80762,69,7.35,302.10847,NW
1872.44421,42,0,137.83789,NW
1614.40308,42,0,105.00304,NW
4775.38733,89,56.54,472.61096,NW
3382.33728,67,19.01,301.12933,NW
3792.61731,84,5.88,386.832,NW
1768.31201,42,0,157.17603,NW
3289.06812,68,18.32,291.60605,NW
1417.84265,42,0,106.64073,NW
2326.11304,29,52.56,242.71458,NW
1451.67004,42,0,103.74736,NW
1326.13245,42,0,117.45269,NW
3964.5509,89,0,351.5219,NW
4279.44458,75,1.5,373.03138,NW
2001.37012,42,0,152.20714,NW
2294.18787,61,10.11,178.9743,NW
8082.7124,106,922.01,828.16016,NW
497.08801,22,0,31.85606,NW
520.53302,21,0,36.77556,NW
1145.47888,36,0,81.44205,NW
1499.21434,41,0,129.03219,NW
1021.12329,36,0,74.23399,NW
491.51804,23,0,27.63954,NW
8199.41992,106,847.11003,870.06488,NW
379.50931,18,0,30.60297,NW
3100.52643,65,75.25,319.67496,NW
993.50122,36,0,86.21741,NW
666.67206,21,0,66.21076,NW
1402.36633,43,0,118.1116,NW
398.76404,21,0,30.28238,NW
8065.28955,106,804.46997,812.59711,NW
4696.99231,80,329.59,572.91798,NW
1189.61218,36,4.67,111.50388,NW
7805.77637,106,897.69998,850.11646,NW
629.81506,14,11.56,51.41827,NW
591.32904,21,0,40.21094,NW
4442.42273,93,229.01,469.24389,NW
1365.38513,36,2.53,119.01912,NW
4393.97705,72,121.74,429.31674,W
4085.84692,72,200.67,406.50723,W
5673.05005,105,114.64,619.42206,W
4840.00311,93,228.26,461.6525,W
4896.24268,72,349.96,458.17838,W
4927.77124,90,312.96999,559.60665,W
4232.48291,72,149.69,435.62268,W
5092.64917,95,63.32,508.72399,W
4263.37363,77,142.13999,497.22528,W
4288.93555,72,178.26,439.5965,W
4669.67651,92,228.26,549.94879,W
5291.45605,89,272.28999,561.03133,W
4507.9292,89,31.1,514.67362,W
5230.81104,89,211.86,541.46339,W
3816.05103,72,96.11,398.56763,W
4237.40137,89,49.67,402.55221,W
