Total Distance (m),Total Duration,High Speed Distance (m),Total Player Load,Result
7709.09052,104,480.47999,823.67346,NW
7042.49463,93,27.01,704.64935,NW
5444.95215,63,763.34002,587.13525,NW
6856.19873,93,366.59999,668.85516,NW
5775.53857,72,29.42,652.99805,NW
6349.03711,93,363.15001,632.72559,NW
6878.62988,93,369.09999,670.70801,NW
7101.19598,104,155.39,630.32543,NW
6395.17432,93,311.96999,645.03271,NW
5957.75439,93,236.34001,664.40979,NW
6820.34033,93,30.11,669.62756,NW
6263.80322,93,137.84,720.42914,NW
6538.68848,97,453.37002,659.9782,NW
6195.33789,93,309.55,574.71027,NW
8287.98584,107,449.47999,884.33749,NW
8202.10352,97,240.91,817.51245,NW
8277.3418,115,300.58,852.29463,NW
8367.92383,97,245.7,920.75726,NW
8532.32629,117,531.43999,795.43503,NW
7755.46729,97,393.92,861.16949,NW
7685.63672,97,127.72,803.80328,NW
2599.39819,70,9.44,309.83667,NW
7227.00879,97,321.90999,669.03088,NW
7415.52197,97,237.4,870.88232,NW
7361.26709,97,355.07,702.12653,NW
6889.13574,97,415.19001,832.53436,NW
7163.22217,97,354.11001,844.78741,NW
8780.03308,108,260.15999,878.68324,NW
7235.92822,97,149.03999,835.34827,NW
2783.00659,72,0,361.41306,NW
8296.34509,116,263.74,881.18291,NW
8910.17478,99,687.59,851.53014,NW
8436.54028,100,316.72,821.23376,NW
3801.74512,54,96.64,442.89835,NW
8104.89243,99,467.8,740.27045,NW
7199.14669,89,353.13999,701.45807,NW
8665.00602,89,486.07999,927.02966,NW
8141.76758,89,916.66,746.19159,NW
7520.33931,89,562.51001,803.96595,NW
8000.97997,89,332.16,760.56593,NW
5961.65918,106,491.61999,623.1449,NW
7618.37695,89,384.68,618.80817,NW
8205.34974,89,477.40001,881.25508,NW
7984.55264,89,754.25999,727.77701,NW
6673.46855,89,509.48,693.53935,NW
2549.72705,57,0,435.41461,NW
7987.45448,89,426.33001,768.42471,NW
7795.9541,103,286.50999,889.9115,NW
8763.98328,103,426.41999,983.64785,NW
8333.09775,89,686.45999,896.42514,NW
6803.25684,88,177.51001,622.2182,NW
7997.81085,103,469.40002,818.73849,W
8320.45313,91,217.59,797.9093,W
7760.35876,104,443.29999,777.44978,W
8082.13135,112,576.19999,773.28782,W
8407.26086,107,1019.50001,744.03563,W
8215.44629,111,690.16002,782.5033,W
7541.7085,91,303.29999,780.02472,W
5775.66943,99,106.15,580.04297,W
8465.6748,109,366.23,741.49397,W
7842.83838,91,442.18,874.45862,W
7320.4541,91,592.34002,701.99414,W
2639.1377,22,0,232.48344,W
9027.82947,112,480.50001,852.83267,W
7419.84277,91,188.64,794.39844,W
6056.57153,121,75.88,729.08119,W
8101.35699,106,420.99,795.10075,W
1885.00903,28,18.39,195.60031,NW
4050.16016,59,36.74,436.78384,NW
4698.43701,59,239.13,500.35275,NW
3843.0813,59,45.66,429.66858,NW
4697.24854,59,78.81,461.81543,NW
4076.63281,59,199.94,407.2739,NW
4419.06885,59,42.69,467.38934,NW
4345.56934,59,64.88,377.10468,NW
4266.16504,59,96.65,444.90399,NW
3742.90503,59,44.99,447.48849,NW
4448.72656,59,63.67,474.04971,NW
3744.04932,59,21.41,435.5011,NW
4342.51953,59,75.59,583.09192,NW
4427.54541,59,72.19,441.36026,NW
5822.69043,48,775.04999,546.61859,NW
6125.18506,95,242.29999,659.03796,NW
1093.60303,11,0,81.17994,NW
6755.22559,95,10.82,846.88129,NW
6131.86035,95,151.09,650.31683,NW
9879,81,1140,0,NW
10672.02246,84,341.27,1032.42599,NW
6600.08154,99,261.95,703.20278,NW
6510.62671,107,122.45,695.91036,NW
10569,90,1074,0,NW
6634.36523,95,176.19999,832.13928,NW
6390.12256,95,73.52,690.7746,NW
1555.58813,34,0,186.84628,NW
6098.57324,95,33.04,759.01801,NW
6424.83252,95,96.43,766.37238,NW
7588.24072,100,457.18999,769.04004,NW
7563.24414,108,446.33001,765.27868,NW
4850.6582,72,269.16,523.24164,NW
7543.70703,108,330.54,794.76604,NW
8247.37988,100,161.27,978.7002,NW
8061.15692,102,861.49,806.29517,NW
7454.59277,100,584.84,747.16962,NW
6738.48242,100,281.20001,784.96771,NW
7649.28418,100,222.25,823.70734,NW
7053.71875,107,313.72,806.58752,NW
7872.23062,108,269.72001,689.4861,NW
7393.71338,100,289.77,880.29272,NW
6849.93799,100,366.23001,680.03131,NW
6085.58105,100,207.06,702.42743,NW
7637.08212,105,525.18,909.19271,NW
7837.70117,100,267.63,788.98792,NW
6881.91748,100,244.57,746.69617,NW
2255.48364,36,55.93,288.80087,NW
4487.88623,56,388.67,510.63492,NW
6270.4577,103,484.82001,757.14004,NW
6410.82813,104,609.08,725.47383,NW
5917.90088,88,586.34001,740.96204,NW
6377.05444,113,696.66002,654.07161,NW
7125.30176,104,550.75001,832.30497,NW
6383.13525,88,361.67,718.98932,NW
6920.74225,101,529.67001,672.85046,NW
6198.44531,88,566.25999,799.34088,NW
5313.02686,88,695.56999,565.50946,NW
4913.66504,88,640.33999,645.35168,NW
6814.34766,113,556.42001,863.01543,NW
11552.62122,91,445.17,1010.58081,NW
6135.42139,88,490.61,798.74152,NW
10883.01245,91,551.82999,1096.60971,NW
6728.83008,107,499.04999,804.50185,NW
4162.18506,56,147.14,430.39108,NW
6691.68622,109,377.96001,811.21947,NW
5540.96191,87,370.11,624.56232,NW
5919.35156,87,225.84,793.93774,NW
6824.90149,116,474.07001,708.72214,NW
5923.02148,87,343.72001,710.63123,NW
5776.125,87,277.54,635.73608,NW
5570.95068,87,311.47,595.94629,NW
6056.64063,87,363.29,767.70966,NW
5392.90527,87,436.48999,571.71777,NW
5056.99854,87,372.51,661.89697,NW
5846.78418,87,411.19,653.46057,NW
5755.2915,87,364.74999,747.62646,NW
5830.52246,87,404.17,720.53552,NW
753.25604,14,0,79.05467,NW
5532.7251,87,278.13001,620.20062,NW
5910.36377,92,464.35001,573.16119,NW
8048.73584,127,203.26999,852.50946,NW
8061.68994,104,839.82998,812.60229,NW
7108.10687,111,406.15001,740.68085,NW
7351.21143,99,677.23998,751.27209,NW
7919.48975,120,367.4,849.27267,NW
6910.51509,102,606.92001,713.79493,NW
7176.0439,108,484.38,741.76859,NW
7755.00159,124,357.77999,871.38687,NW
7658.17822,120,396.42,812.60679,NW
7976.99443,120,302.97,730.92279,NW
6579.32275,92,367.76001,815.28534,NW
6853.22803,99,472.97,719.67668,NW
6866.34277,112,370.35999,801.46528,NW
5443.35059,41,13.91,562.63074,NW
4673.3252,79,549.37,543.1441,NW
5558.69336,92,292.33,584.40662,NW
6248.95752,92,360.40999,737.15606,NW
8085.1123,129,392.36,883.85233,NW
8388.32996,101,721.67002,865.03864,NW
6015.53516,89,413.79999,632.32513,NW
6053.62012,92,373.86001,582.77832,NW
8070.64941,102,688.73,790.92261,W
9076.98584,136,512.62,972.83035,W
9615.84473,111,579.77999,1033.11169,W
8193.05753,106,681.92,864.9561,W
7757.47852,111,462.51,821.76715,W
8602.68799,135,277.54,979.15311,W
7307.22363,102,444.52999,729.65613,W
7531.62451,102,442.21,774.84698,W
9810.69678,136,239.57,1103.74023,W
8438.88281,102,592.96,909.05249,W
10220.64912,130,703.35999,1130.39163,W
7664.28857,102,283.52,738.67529,W
8766.90869,111,495.12,904.79051,W
8576.16113,129,469.27,1027.70131,W
3555.59521,163,702.04999,420.35223,W
7200.8374,102,142.56,863.39417,W
9526.94299,136,346.72001,1168.14346,W
9478.80566,108,795.09998,984.63475,W
9923.05957,131,825.92001,1087.26941,W
0,210,0,0,W
7321.25439,102,180.92,722.80829,W
7661.64893,111,309.40999,867.92904,NW
7630.24023,93,450.23,827.73044,NW
7088.12109,93,684.42999,737.29136,NW
8140.52832,112,140.53,916.02721,NW
7541.56543,105,376.39,759.13692,NW
7544.65234,111,302.31999,842.52966,NW
8665.04346,114,308.92,982.43907,NW
7733.09735,111,317.03,922.12003,NW
8625.17041,112,296.81001,918.38928,NW
7275.29688,105,138.71,704.47623,NW
6966.19531,90,120.58,891.34265,NW
6318.63233,90,294.24999,646.54274,NW
6259.87982,111,200.21001,752.41454,NW
7968.57764,91,559.79,816.38354,NW
5249.37646,72,55.03,597.48224,NW
7370.11768,106,73.92,942.31189,NW
8420.875,118,112.83,965.98894,NW
7805.30975,93,623.55,871.05446,NW
5386.24658,72,286.45,611.39807,NW
5376.46436,53,662.50001,589.63763,NW
6774.91846,98,100.08,635.93674,NW
