Total Distance (m),Total Duration,High Speed Distance (m),Total Player Load,Result
5674.7334,86,372.66999,599.08368,W
6208.44824,86,236.07,579.92816,W
6892.75391,99,432.60001,721.06277,W
5475.85791,86,308.78,527.7887,W
6293.10303,86,208.32,640.10925,W
5473.19629,86,275.21999,481.6629,W
4627.48926,51,112.47,510.2644,W
6021.00586,86,167.37,596.45001,W
5572.81006,86,291.83,472.41776,W
5668.11426,86,263.77,625.58295,W
5928.43945,86,336.13001,557.91962,W
6234.64856,99,397.82999,685.67484,W
5427.44336,81,404.66999,576.35815,W
3807.76831,29,33.05,339.16422,W
5449.32959,86,223.88001,619.29291,W
6181.11865,86,355.72,626.35114,W
5552.42627,86,266.88,491.0892,W
5836.05078,77,237.93,620.74438,NW
5684.34494,89,132.87,507.99826,NW
6843.2363,98,470.28,674.94891,NW
6467.44073,107,162.69,680.68031,NW
4425.72601,72,119.02,481.8403,NW
5357.23389,77,231.92,502.83502,NW
5553.99213,73,361.57,609.7017,NW
4484.96521,66,19.51,442.57854,NW
10978.04102,137,803.29002,1229.03333,NW
5427.54639,77,215.58,476.40848,NW
641.04407,16,0,66.1776,NW
3920.58612,66,95.32,359.51135,NW
1749.71729,28,12.84,192.3812,NW
5536.59302,89,269.12,595.1042,NW
4624.99567,66,97.44,439.99864,NW
5888.98254,92,172.72001,705.45009,NW
5875.94589,106,85.17,675.65364,NW
3800.20135,63,123.42,386.2559,NW
1939.82446,27,25.76,219.93198,NW
1747.75269,35,18.79,186.58473,NW
5464.14014,41,763.24998,543.21899,NW
3205.51978,45,677.81001,354.65524,NW
2349.74316,38,33.84,262.26584,NW
1604.86462,30,0,187.25629,NW
3932.07056,33,569.57001,277.91595,NW
1658.25232,27,9.97,186.97797,NW
2464.06885,47,10.04,304.84064,NW
1666.36511,32,4.35,164.72954,NW
7184.59326,113,443.51999,842.14435,NW
2314.98169,38,15.86,209.38138,NW
2122.38281,40,11.5,262.51404,NW
2195.25513,37,35.18,240.74159,NW
2563.03906,40,29.38,258.70786,NW
2183.89624,37,16.7,279.6442,NW
2987.56543,45,93.35,356.56213,NW
2260.81201,37,30.41,258.30188,NW
2025.78406,34,12.65,183.99835,NW
4960.44287,69,179.54001,536.18036,W
4448.71436,51,66.1,416.33936,W
4824.33997,66,244.97,445.1848,W
5167.60156,69,203.72,486.27759,W
4899.54443,69,97.69,481.75195,W
5105.61035,69,259.28,494.0853,W
4685.06641,51,459.69,480.25006,W
4245.50146,51,100.72,431.05319,W
6828.18848,109,727.12002,844.13373,W
5818.55011,80,179.9,508.37186,W
2537.13086,25,27.11,275.48163,W
3593.67188,51,33.9,419.88907,W
3241.87427,24,0,263.97394,W
4771.47125,62,138.66,472.33235,W
5284.36987,79,150.69,561.05835,W
5791.01392,85,282.49,612.53225,W
6490.2644,105,209.99,665.71119,W
3339.01807,31,0,278.862,NW
4388.12549,67,167.26,481.61466,NW
5006.02197,74,193.15,507.16821,NW
5227.01337,90,6.72,548.74908,NW
4786.23096,74,191.59,499.41165,NW
4720.94745,66,176.82,542.96155,NW
3721.16333,51,22.3,371.61002,NW
4205.4458,89,95.88,478.93744,NW
4580.48584,74,69.55,437.509,NW
3575.34619,51,29.46,418.13708,NW
3598.15503,51,118.47,373.87421,NW
3597.95154,52,119.05,402.65627,NW
5363.46143,48,449.18001,534.95789,NW
3755.98633,51,95.62,383.89273,NW
4559.76416,74,23.68,514.36609,NW
5067.51001,89,73.89,606.56118,NW
3562.81982,51,149.59,405.32489,NW
5930.80908,84,299.46,626.75098,NW
6865.75244,98,244.86,693.29047,NW
5777.91895,84,72.48,616.5473,NW
6071.0376,84,102.44,697.44214,NW
6015.67383,84,331.29999,598.07001,NW
5935.18115,84,289.41,572.88757,NW
6526.67041,96,217.53999,744.46692,NW
5790.96533,84,127.09,608.73029,NW
8566.41016,134,991.74999,986.80383,NW
5799.93506,84,232.97,515.0675,NW
5794.34424,84,137.08,686.32593,NW
5770.97461,93,354.40001,553.33971,NW
3760.88306,52,115.31,454.12592,NW
6928.03223,84,353.42999,800.53784,NW
6161.58496,84,144.52,612.3028,NW
4419.2959,36,686.89001,428.19989,NW
5524.56787,84,91.9,638.08856,NW
6020.24927,53,710.71998,598.30036,NW
6718.63428,111,402.43,713.32391,NW
6106.38989,99,252.49,662.08669,NW
6531.52783,114,54.23,688.61864,NW
5652.39307,74,89.98,635.11938,NW
6455.82056,109,316.14,620.24795,NW
6475.62109,98,212.66999,739.05457,NW
5484.95313,74,42.82,598.82062,NW
5067.05225,82,246.55,502.82941,NW
5308.63965,74,133.04,636.84619,NW
4643.40723,74,219.46999,469.05438,NW
3179.53271,53,129.34,348.28122,NW
5314.65674,74,363.67999,595.20038,NW
5288.58142,66,859.43997,501.09341,NW
7156.17529,109,310.58,796.16017,NW
6657.46545,109,322.76999,736.36008,NW
4630.00586,81,71.24,449.06122,NW
4869.36987,81,95.17,530.10109,NW
5317.91748,84,94.41,546.07142,NW
5274.44482,67,56.26,622.50146,NW
5701.27441,86,239.84,556.0406,NW
4817.71729,67,116.17,519.73242,NW
5106.19995,67,103.505,625.620695,NW
5211.90918,81,185.81,487.10942,NW
4937.95508,67,150.75,628.73993,NW
5134.91455,90,67.46,568.30937,NW
9280.82886,97,443.81,849.43358,NW
5552.3501,74,525.64001,555.74144,NW
5280.63477,81,77.1,601.01077,NW
10310.5708,97,605.56,1055.77605,NW
4791.67676,67,102.95,576.10431,NW
6082.43555,82,198.20999,644.33087,NW
6842.02325,101,239.12,764.35166,NW
3321.65253,32,22.11,334.23978,NW
6279.29749,101,124.44,784.00215,NW
6129.31073,102,99.7,698.10068,NW
3895.17822,43,758.82001,359.23059,NW
5798.23486,82,81.52,669.07526,NW
6427.41846,102,158.14,654.78383,NW
5959.79053,82,110.67,782.71545,NW
5438.66992,82,240.88,580.39886,NW
5720.48944,100,108.29,716.2082,NW
6639.16724,102,137.8,715.97118,NW
6684.76807,102,198.14,722.95169,NW
6137.21924,82,102.48,880.06616,NW
5022.24023,82,170.45,567.61407,NW
5109.33105,82,44.38,557.56152,NW
5337.54407,85,132.88,511.925,W
4721.56055,71,93.09,506.88083,W
3771.92212,64,135.11,386.90645,W
5762.43433,109,67.85,571.50647,W
5324.2168,90,95.81,476.20567,W
