Total Distance (m),Total Duration,High Speed Distance (m),Total Player Load,Result
4955.06201,41,628.92999,435.03461,NW
4641.57471,72,198.17,678.20953,NW
12786.99707,98,750,0,NW
4129.18994,37,341.81,0,NW
10780.45654,98,849.60999,0,NW
1409.08008,10,569.25999,119.7844,NW
7706.18726,63,854.52998,0,NW
3308.01,55.99,26.21,0,NW
5150.54736,72,335.61001,537.83862,NW
2948.74219,29,822.93002,236.09929,NW
12415.6748,98,975.49001,0,NW
7063.87769,61,725.39998,0,NW
11354.32178,98,1120.09,0,NW
10572.20898,83,813.85999,0,NW
6320.21875,72,907.78003,623.87183,NW
10679.19336,98,569.86,0,NW
5404.97607,72,294.77999,688.44733,NW
11841.47656,98,934.03001,0,NW
4010.79712,37,665.12998,420.91885,NW
11111.30713,98,803.19002,0,NW
11909.98853,93,1095.09,1132.39951,NW
914.32788,8,253.38,92.97704,NW
11828.32617,95,1022.87,0,NW
11457.25146,95,593.23,0,NW
11983.5542,88,905.43002,0,NW
12269.84814,95,1496.35003,0,NW
4742.4175,76.2,332.42,0,NW
10521.92651,85,813.64999,1041.71463,NW
11279.59131,95,573.28,0,NW
11341.54541,95,1035.87999,0,NW
3061.24365,23,328.12,0,NW
8845.34595,62,626.26999,0,NW
12596.69434,95,544.98001,0,NW
10942.58813,93,799.33,1122.79237,NW
4342.34863,33,442.69999,0,NW
11656.00684,95,702.08,0,NW
5409.00391,53,879.35998,580.89465,W
6589.90771,94,222.62,769.40204,W
12291.8208,96,776.27,0,W
10726.146,96,1039.06,0,W
11031.31885,96,921.52999,0,W
5505.12207,54,767.90002,587.43622,W
11941.87207,94,1232.34996,0,W
1496.26111,13,582.44998,172.05827,W
1482.7,22.67,164.79,0,W
6254.32031,107,61.84,698.14734,W
12266.54492,96,971.89001,0,W
1771.2179,16,463.99,158.89244,W
10089.05664,88,990.98,0,W
8404.52808,67,849.24,0,W
6746.0791,107,729.05,794.32806,W
10295.27783,96,490.61999,0,W
6140.8125,99,647.20999,782.13568,W
3482.8125,29,337.86001,0,W
11133.78271,96,1065.67999,0,W
10323.02002,96,601.91001,0,W
4003.67725,52,36.91,401.80722,NW
12263.16553,96,701.57001,0,NW
8259.50513,68,565.86001,0,NW
10732.69189,96,861.88999,0,NW
5564.5415,66,43.86,678.98621,NW
8669.10571,68,881.22,0,NW
11267.61865,96,1357.81,0,NW
1819.41199,15,606.42002,128.79416,NW
10547.76465,96,979.89001,0,NW
11415.11865,96,1095.60002,0,NW
12180.97656,96,1083.83001,0,NW
6391.15039,84,620.63999,646.28882,NW
5151.62549,66,64.93,558.66852,NW
8513.92334,83,542.42,0,NW
7463.43896,105,803.82002,875.69733,NW
4312.79175,40,641.33,124.9719,NW
10289.12793,96,639.17001,0,NW
10691.04004,97,1169.22,0,NW
1870.16296,16,936.44001,192.30864,NW
1846.5343,16,906.03999,188.86322,NW
12394.59619,97,756.46,0,NW
9991.70801,83,891.33001,0,NW
1928.0824,16,869.68997,191.93379,NW
3819.68848,36,439.31999,366.73566,NW
4808.73242,41,916.11997,548.55957,NW
1836.58105,16,932.53001,157.53073,NW
11991.41748,97,1290.45995,0,NW
1566.10461,14,184.66,0,NW
10737.45459,97,879.97001,0,NW
8238.4895,69,860.96001,0,NW
10085.03271,97,642.55001,0,NW
11050.94873,97,907.63999,0,NW
9942.65723,97,502.64001,0,NW
10916.84082,95,1096.91001,0,W
1253.0481,9,703.35999,139.68694,W
9061.99097,73,1084.24998,0,W
1628.51276,11,779.14001,132.67804,W
13282.77686,95,835.48001,0,W
12111.25684,93,1418.28997,0,W
824.33606,6,502.94001,90.04802,W
4348.96436,54,786.90997,519.14301,W
4726.27734,50,646.15002,536.55499,W
